moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,exist_passport,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,public_activity_endorsement,total
Gogi,bostromvaloper1g2cm236funqjgf9qf5cgcgznt8p3r44lqalru0,1195276569613,1195754795111.5403,0.1,0.008403688743980172,0.0,0,4,False,True,64.0,99.99999999999999,55374840740,64.0,532377723970,0.4616286254533658,296054810567,0.0,0,1.9992002877668957,257460825261,254481481481,1395749682019
SteakBridge,bostromvaloper1wl2vmcj57kxkj4pa8dfr7wnw5tzyrumug67e4m,1246840978310,1247464585323.788,0.1,0.009595365651372935,0.0,0,5,False,True,60.0,99.99999999999999,55374840740,60.0,499104116222,0.5068849027183252,325078874184,0.0,0,1.9990004507531791,257435089869,254481481481,1391474402496
StakeAngle,bostromvaloper1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfjeqjne,1910986158609,1911750743485.8296,0.1,0.0005232900277665519,9286.994772,0,4,False,True,46.0,99.99999999999999,55374840740,46.0,382646489104,0.03782355863508324,24257261940,3.9679219622761472,416421909362,1.9992002807002538,257460824351,254481481481,1390642806978
kobolt,bostromvaloper1ujrn59pqp6sdghp3ag5rfgxjvt69yg60vg20jy,1204079586526,1204440882338.1455,0.1,0.00834202322454464,0.0,0,3,False,True,63.0,99.99999999999999,55374840740,63.0,524059322033,0.4591768706026468,294482434467,0.0,0,1.9994001505120953,257486563966,254481481481,1385884642687
qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,4567747496741,4570489104088.664,0.1,0.0036173371432612904,52933.339563,0,6,False,True,19.0,99.99999999999999,55374840740,19.0,158049636803,0.23397099975998825,150051873287,4.723737498960299,495742559290,1.9988006600568018,257409360442,254481481481,1371109752043
earth,bostromvaloper1hnaez3a3u24w05gm79m8498a868vaf5q9sem4y,826494098248,826990168036.6406,0.1,0.0049016050393918265,0.0,0,6,False,True,72.0,99.99999999999999,55374840740,72.0,598924939467,0.30313502232890777,194408614768,0.0,0,1.9988006604572681,257409360494,254481481481,1360599236950
wilknet,bostromvaloper1pdswexj0dx6ngme56pkvaj990skendzlk0emef,1249236764457,1249986568010.4207,0.1,0.006757804069806965,0.0,0,6,False,True,59.0,99.99999999999999,55374840740,59.0,490785714285,0.3922145910976885,251537729826,0.0,0,1.9988006612422249,257409360595,254481481481,1309589126927
Patrikstar,bostromvaloper1rnll87mg485zeswx248m2pcxzvgrjwnqj87lre,1411703653732,1411986036605.7664,0.1,0.007086405742135422,0.0,0,2,False,True,55.0,99.99999999999999,55374840740,55.0,457512106537,0.4067537300628865,260862069338,0.0,0,1.9996000602986257,257512308730,254481481481,1285742806826
chain3,bostromvaloper1zjny5vyz3lu0t8pk39g5wy2j43f2jr765qx0l5,1389042475184,1389459271120.8604,0.1,0.0061405803482504255,0.0,0,3,False,True,56.0,99.99999999999999,55374840740,56.0,465830508474,0.36393510247291894,233401335793,0.0,0,1.9994001502132412,257486563928,254481481481,1266574730416
bloqhub,bostromvaloper1gh09lmm8flkuu3w38mr4axvunnu6qqlaexfan0,5227675998759,5229244615094.811,0.1,0.032345207089945975,0.0,0,3,False,True,14.0,99.99999999999999,55374840740,14.0,116457627118,0.9077527616969264,582166176637,0.0,0,1.9994001500475278,257486563906,254481481481,1265966689882
MMatriXX,bostromvaloper1mln0yvsm653nwyw3qaedhf2s38tagy5g60jkgh,1279271527508,1280039357746.4673,0.1,0.011650990886222777,5.4960059999999995,0,6,False,False,58.0,99.99999999999999,55374840740,58.0,482467312348,0.5761928380226262,369527910760,0.8126464173669994,85284886137,1.9988006619597303,257409360687,0,1250064310672
0base.vc,bostromvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4y57nyp,5101467027384,5103508124021.52,0.05,0.04245948911171813,0.0,0,4,False,False,15.0,399.99999999999994,221499362961,15.0,124776029055,0.9562179242107761,613248184372,0.0,0,1.9992002801093234,257460824274,0,1216984400662
linak,bostromvaloper1v46pz6ddetfc3tnvdr28ss0l48jhazgytkxwga,1895671766177,1896619885915.9485,0.1,0.006006387596288581,0.0,0,5,False,True,48.0,99.99999999999999,55374840740,48.0,399283292978,0.3576146960122566,229347889724,0.0,0,1.9990004504712893,257435089833,254481481481,1195922594756
ToTheMars,bostromvaloper1n76f7tuq0kxf2ufjevlguqfc4xn4vfykflmhnn,1901264042992,1905642198718.8772,0.06,0.0007153139144522929,6807.367173999999,2,23,False,False,47.0,277.77777777777777,153819002056,47.0,390964891041,0.05134138558076473,32926606679,3.833042969130314,402266749963,1.2454103384264243,160386318210,0,1140363567949
starhit2,bostromvaloper1s4kvy3hecnj93jf4yx23ymfryyarenat4yh96t,1108979213819,1110199819711.7727,0.1,0.010304931027197047,0.0,1,11,False,False,66.0,99.99999999999999,55374840740,66.0,549014527845,0.5320039288890415,341188378935,0.0,0,1.4978023147268595,192889838195,0,1138467585715
saturnia,bostromvaloper1prka3rnlwvsu9ejpjxd3m0hadmgylz3ka7zfh3,9517683640586,9518635503982.154,0.03,0.005333959222443151,0.0,0,1,False,False,6.0,1111.111111111111,615276008225,6.0,49910411622,0.32498518469572124,208421709546,0.0,0,1.9998000100324056,257538058638,0,1131146188031
inch88,bostromvaloper13jnp8uk4xnqcvdejcnq9rphm9actc90pmu689h,2269508645562,2280199006172.0073,0.1,0.0042262179334526685,0.0,0,47,False,True,41.0,99.99999999999999,55374840740,41.0,341054479418,0.26757859825929087,171605326991,0.0,0,1.9906452897054718,256359096297,254481481481,1078875224927
cccatch,bostromvaloper10jmsqhf7mwquv0wa08hegxqaasvue5tnpghpd0,1430712164473,1432000448568.5657,0.1,0.00891120920097594,0.0,0,9,False,False,54.0,99.99999999999999,55374840740,54.0,449193704600,0.48138949982928103,308727988956,0.0,0,1.9982015304516763,257332203389,0,1070628737685
Maksimba,bostromvaloper16wcy0dlqx58n3j6gfm2l28t949ka5l4legnuur,1571943714234,1573044513268.0535,0.1,0.008318722473070316,0.0,0,7,False,False,53.0,99.99999999999999,55374840740,53.0,440875302663,0.4582475539554204,293886438792,0.0,0,1.9986009119750663,257383636503,0,1047520218698
BlackMatter,bostromvaloper1qej26grgx7zwan0ll0s5xph6xfpsq8xl32w5xk,3863960012529,3866279199610.124,0.05,0.0001833358965162643,1014.7484400000001,0,6,False,False,27.0,399.99999999999994,221499362961,27.0,224596852300,0.013417855218705865,8605230191,3.0067861640037044,315553493078,1.99880066007684,257409360445,0,1027664298975
chocowaka,bostromvaloper1hqjl8luqfwmndsqf8esjeptd8st5ge2e0c8s9z,1641359966140,1642180892073.944,0.1,0.007770285025285039,0.0,0,5,False,False,52.0,99.99999999999999,55374840740,52.0,432556900726,0.43590678085018963,279558702199,0.0,0,1.999000450257896,257435089805,0,1024925533470
soldout,bostromvaloper1dzr5h7l9pjsqu9uwrjgrvelk08y7kzk0zrjwl0,1809661177107,1816732957480.8938,0.1,0.0076737825852020835,0.0,0,39,False,False,51.0,99.99999999999999,55374840740,51.0,424238498789,0.4318814665617243,276977160255,0.0,0,1.9922299899877773,256563177021,0,1013153676805
Samuelson,bostromvaloper1yelfarfq3tu3gmtwm0c9fythen0u2xcap75eaa,1831501319799,1847874973524.299,0.1,0.007626148536727702,0.0,0,89,False,False,50.0,99.99999999999999,55374840740,50.0,415920096852,0.42988397714825055,275696116755,0.0,0,1.9823569103869132,255291703004,0,1002282757351
night,bostromvaloper1qu64qjal6aj8tre8cgn8zlnps9vhnt53wwpv8l,1303093260911,1304396900124.518,0.1,0.0032951644090294086,0.0,0,10,False,False,57.0,99.99999999999999,55374840740,57.0,474148910411,0.2155690168826201,138250188438,0.0,0,1.998002160581016,257306528157,0,925080467746
kokorin9,bostromvaloper1lpa2af6hazp5qute3l8zw082rn0rpahvr0tury,1148717795683,1149866925381.3467,0.1,0.0008783625106113015,0.0,0,10,False,False,65.0,99.99999999999999,55374840740,65.0,540696125907,0.06267025366764134,40192113432,0.0,0,1.9980022810004838,257306543665,0,893569623744
Citadel.one,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,5864021910423,5864608370327.573,0.05,0.0068205747892771595,0.0,0,1,False,False,11.0,399.99999999999994,221499362961,11.0,91502421307,0.39501917927458574,253336387395,0.0,0,1.9998000103179636,257538058674,0,823876230337
SunG2V,bostromvaloper1j0m3zcg82e6t689a3qnnwl83m49x5q6yfyf03h,2458686751468,2460408520294.971,0.05,0.0015078593618265777,0.0,1,7,False,False,38.0,399.99999999999994,221499362961,38.0,316099273607,0.1051535893482124,67437815288,0.0,0,1.4986009100727555,192992682826,0,798029134682
