,operator_address,current_delegation,calculated_delegation,diff
16,bostromvaloper1n76f7tuq0kxf2ufjevlguqfc4xn4vfykflmhnn,1623933503255.0,1318087238982,-305846264273.0
30,bostromvaloper1vmwdqm6c4qq2hw0y2s6fevvf90qrh35srdduj3,1463657628879.0,1156900074488,-306757554391.0
45,bostromvaloper1nn879nanadz3v2u98halnyqlazxj66da437ws5,1335735167594.0,1025217134604,-310518032990.0
44,bostromvaloper1ahqvg92jdt09dkfwwct0frg0dh2euafktp88qx,1392305290268.0,1044068329117,-348236961151.0
20,bostromvaloper1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0vd9g8y,1613518160522.0,1264309208199,-349208952323.0
23,bostromvaloper1r798qg4dk8ffwaexz996e0anaz4x7yvqcuyel4,1560623995503.0,1210886808628,-349737186875.0
75,bostromvaloper1vcr2hxm439mm5t0knqa335lcgqrnukmzae9nlv,1010453948488.0,632699503378,-377754445110.0
25,bostromvaloper1a37z37ce2qvnvvadky9y7m09qwcz3k0prapt73,1613914290564.0,1183885195762,-430029094802.0
18,bostromvaloper1gdpk4xeyeqzdkdwc0c2zrd8ltrthnze30rn2ue,1744463538514.0,1302286563618,-442176974896.0
48,bostromvaloper1369tzcr8a79h3ryd9kl0kneurwssmmsq7ur6gf,1496124604870.0,991212605020,-504911999850.0
42,bostromvaloper1qkw8dtdansmvayk2jxfkpel9q4d20rvf05lk94,1580812853782.0,1059280701390,-521532152392.0
76,bostromvaloper1t0eh92elc0mefajd3xr7e7xqfpv970c4srkn36,1145010935437.0,577232404500,-567778530937.0
49,bostromvaloper17hngdzsccvetu23sarsl4f5gyz5lp3ruaqxzvf,1634673664978.0,986318000302,-648355664676.0
